AAK1;AP2M1
AATK;CDK5R1
ABL1;RAD9A
ABL1;RAD51
ABL1;ESR1
ABL1;STK3
ABL1;JAK2
ABL1;EGFR
ABL1;GNB2L1
ABL1;RAD51
ABL1;MYLK
ABL1;RAD52
ABL1;CEBPB
ABL1;MTOR
ABL1;RAD51
ABL1;LASP1
ABL1;SPTLC1
ABL1;MDM2
ABL1;NCOA3
ABL2;CEBPB
ABL2;SIVA1
ACVR1;SMAD5
ACVR1;SMAD1
ACVR1;SMAD1
ACVR2A;ACVR1
ADAM17;MUC1
ADRBK1;RPLP2
AKT;GSK3B
AKT;BRCA1
AKT;RAF1
AKT;MTOR
AKT;BRAF
AKT;NOS3
AKT;CHUK
AKT;ESR1
AKT;MDM2
AKT;STK3
AKT1;BAX
AKT1;NCF1
AKT1;CFLAR
AKT1;BAD
AKT1;TBC1D4
AKT1;TTC3
AKT1;HK1
AKT1;YBX1
AKT1;PPP1CA
AKT1;PHB2
AKT1;STK3
AKT1;HTRA2
AKT1;MAP3K5
AKT1;MXD1
AKT1;PIKFYVE
AKT1;EIF4B
AKT1;PDE3B
AKT1;AKT1S1
AKT1;MDM2
AKT1;KHSRP
AKT1;FOXO4
AKT1;VIM
AKT1;MST1R
AKT1;MAP3K8
AKT1;PPARGC1A
AKT1;VCP
AKT1;YAP1
AKT1;PFKFB2
AKT1;HNRNPA1
AKT1;ITGB3
AKT1;XIAP
AKT1;CHUK
AKT1;SMAD3
AKT1;CDKN1B
AKT1;DLX5
AKT1;DNMT1
AKT1;WNK1
AKT1;BAX
AKT1;RNF11
AKT1;GATA2
AKT1;AR
AKT1;TAL1
AKT1;CTNNB1
AKT1;BRCA1
AKT1;POU5F1
AKT1;EZH2
AKT1;NR4A1
AKT1;PFKFB2
AKT1;MDM4
AKT1;ALYREF
AKT1;TSC2
AKT1;IRAK1
AKT1;PTPN1
AKT1;CASP9
AKT1;COPS6
AKT1;PEA15
AKT1;ADRB2
AKT1;SH2B2
AKT1;FOXO1
AKT1;NR3C1
AKT1;NUAK1
AKT1;MAP2K4
AKT1;METTL1
AKT1;SH3RF1
AKT1;GAB2
AKT1;SP7
AKT1;CHEK1
AKT1;CDK2
AKT1;SRPK2
AKT1;NOS3
AKT1;CDCA7
AKT1;TP53RK
AKT1;TWIST1
AKT1;S1PR1
AKT1;CDKN1A
AKT1;RAF1
AKT1;PHF20
AKT1;RARA
AKT1;PDCD4
AKT1;BCL2L11
AKT1;HSPB1
AKT1;PFKFB2
AKT1;GSK3A
AKT1;MAP3K11
AKT1;NCOR1
AKT1;CLK2
AKT1;EP300
AKT1;GATA1
AKT1;H3F3B
AKT1;STK4
AKT1;SKI
AKT1;GSK3B
AKT1;ZFP36L1
AKT1;TERT
AKT1;PDE3B
AKT1;FOXO3
AKT1;CDKN1C
AKT1;CREB1
AKT1;AGAP2
AKT1;ZYX
AKT1;RAC1
AKT1;PFKFB3
AKT1;GSK3B
AKT1;FOXO6
AKT1;ILF3
AKT1;ESR1
AKT2;BAD
AKT2;SH3RF1
AKT2;ESR1
AKT2;PPARGC1A
AKT2;STK3
AKT2;CREB1
AKT2;FOXO3
AKT2;MAP3K5
AKT2;HTRA2
AKT2;POU5F1
AKT2;KHSRP
AKT2;ANKRD2
AKT2;RAF1
AKT2;FOXO4
AKT2;TSC2
AKT2;BRAF
AKT2;AKT1S1
AKT2;AKT1S1
AKT2;GSK3B
AKT2;MDM2
AKT2;FOXO4
AKT2;GSK3A
AKT2;CASP9
AKT2;EP300
AKT2;CHUK
AKT2;FOXO1
AKT2;STK4
AKT2;XIAP
AKT2;CTNNB1
AKT2;CDKN1B
AKT2;CDKN1A
AKT2;HSPB1
AKT2;PTPN1
AKT2;EZR
AKT2;GSK3B
AKT3;CASP9
AKT3;TBX3
